data,model,block_size,perplexity
pg19,rope,1024,107.71852346251562
arxiv,rope,1024,270.4863497308824
github,rope,1024,70.53770465415234
pg19,rope,2048,134.65021244771725
arxiv,rope,2048,376.17166863184855
github,rope,2048,104.71129274878925
pg19,rope,3072,184.21991914452278
arxiv,rope,3072,641.7091540610991
github,rope,3072,192.04065972100332
pg19,rope,4096,228.36231658655197
arxiv,rope,4096,897.2337385878033
github,rope,4096,282.3291415115997
pg19,rope,5120,266.29043499141244
arxiv,rope,5120,1131.9836748609423
github,rope,5120,374.72048050079013
pg19,rope,6144,300.2878389902443
arxiv,rope,6144,1374.506594427452
github,rope,6144,478.31065601903236
pg19,adape,1024,68.69354707710968
arxiv,adape,1024,122.35915124674096
github,adape,1024,26.263474673740202
pg19,adape,2048,99.95219106023704
arxiv,adape,2048,202.32088655234836
github,adape,2048,46.61069471780488
pg19,adape,3072,147.90830510668422
arxiv,adape,3072,362.8218122970722
github,adape,3072,92.94068008008344
pg19,adape,4096,224.00135213757548
arxiv,adape,4096,589.1457188436374
github,adape,4096,164.13001589457332
pg19,adape,5120,275.0812155564983
arxiv,adape,5120,791.3424841419289
github,adape,5120,231.8193986339138
pg19,adape,6144,297.15373465271665
arxiv,adape,6144,938.9545670678807
github,adape,6144,287.5799563990039
pg19,alibi,1024,69.43716541207968
arxiv,alibi,1024,129.57905926288575
github,alibi,1024,28.151998619521162
pg19,alibi,2048,70.16039094833617
arxiv,alibi,2048,115.83002707623656
github,alibi,2048,25.816602918151645
pg19,alibi,3072,80.81779141841656
arxiv,alibi,3072,124.1883984730378
github,alibi,3072,26.408550479366145
pg19,alibi,4096,87.82423655716454
arxiv,alibi,4096,129.3352259298312
github,alibi,4096,26.82148928961444
pg19,alibi,5120,92.25422245485238
arxiv,alibi,5120,132.67230724916536
github,alibi,5120,27.074480730372645
pg19,alibi,6144,95.68033054638589
arxiv,alibi,6144,134.91442311578894
github,alibi,6144,27.20208718189715
